,NEA(MWh),NEA SUBSIDIARY COMPANY(MWh),IPP(MWh),IMPORT(MWh),EXPORT(MWh),INTERRUPTION(MWh),TOTAL ENERGY DEMAND(MWh),NATIONAL DEMAND(MWh),TOTAL PEAK DEMAND(MW),NATIONAL PEAK DEMAND(MW)
0,7965,1833,15832,14,5459,100,25744,20285,1311,1200
1,7965,1833,15832,14,5459,100,25744,20285,1311,1200
2,7965,1833,15832,14,5459,100,25744,20285,1311,1200
3,7965,1833,15832,14,5459,100,25744,20285,1311,1200
4,7965,1833,15832,14,5459,100,25744,20285,1311,1200
5,7965,1833,15832,14,5459,100,25744,20285,1311,1200
6,7965,1833,15832,14,5459,100,25744,20285,1311,1200
7,7965,1833,15832,14,5459,100,25744,20285,1311,1200
8,7965,1833,15832,14,5459,100,25744,20285,1311,1200
9,7965,1833,15832,14,5459,100,25744,20285,1311,1200
10,7965,1833,15832,14,5459,100,25744,20285,1311,1200
11,7965,1833,15832,14,5459,100,25744,20285,1311,1200
12,7965,1833,15832,14,5459,100,25744,20285,1311,1200
13,7965,1833,15832,14,5459,100,25744,20285,1311,1200
14,7965,1833,15832,14,5459,100,25744,20285,1311,1200
15,7965,1833,15832,14,5459,100,25744,20285,1311,1200
16,7965,1833,15832,14,5459,100,25744,20285,1311,1200
17,7965,1833,15832,14,5459,100,25744,20285,1311,1200
18,7965,1833,15832,14,5459,100,25744,20285,1311,1200
19,7965,1833,15832,14,5459,100,25744,20285,1311,1200
20,7965,1833,15832,14,5459,100,25744,20285,1311,1200
21,7965,1833,15832,14,5459,100,25744,20285,1311,1200
22,7965,1833,15832,14,5459,100,25744,20285,1311,1200
23,7965,1833,15832,14,5459,100,25744,20285,1311,1200
24,7965,1833,15832,14,5459,100,25744,20285,1311,1200
25,7965,1833,15832,14,5459,100,25744,20285,1311,1200
26,7965,1833,15832,14,5459,100,25744,20285,1311,1200
27,7965,1833,15832,14,5459,100,25744,20285,1311,1200
28,7965,1833,15832,14,5459,100,25744,20285,1311,1200
29,7965,1833,15832,14,5459,100,25744,20285,1311,1200
30,7965,1833,15832,14,5459,100,25744,20285,1311,1200
31,7965,1833,15832,14,5459,100,25744,20285,1311,1200
32,7965,1833,15832,14,5459,100,25744,20285,1311,1200
33,7965,1833,15832,14,5459,100,25744,20285,1311,1200
34,7965,1833,15832,14,5459,100,25744,20285,1311,1200
35,7965,1833,15832,14,5459,100,25744,20285,1311,1200
36,7965,1833,15832,14,5459,100,25744,20285,1311,1200
37,7965,1833,15832,14,5459,100,25744,20285,1311,1200
38,7965,1833,15832,14,5459,100,25744,20285,1311,1200
39,7965,1833,15832,14,5459,100,25744,20285,1311,1200
40,7965,1833,15832,14,5459,100,25744,20285,1311,1200
41,7965,1833,15832,14,5459,100,25744,20285,1311,1200
42,7965,1833,15832,14,5459,100,25744,20285,1311,1200
43,7965,1833,15832,14,5459,100,25744,20285,1311,1200
44,7965,1833,15832,14,5459,100,25744,20285,1311,1200
45,7965,1833,15832,14,5459,100,25744,20285,1311,1200
46,7965,1833,15832,14,5459,100,25744,20285,1311,1200
47,7965,1833,15832,14,5459,100,25744,20285,1311,1200
