DATE,EXPORT(MillionUnits(MU)),EXPORT(max)(MW),IMPORT(MillionUnits(MU)),IMPORT(max)(MW),MCP(max)[in NRs per unit],MCP(min)[in NRs per unit],MCP(average)[in NRs per unit]
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
2079-07-05,8.7288,363.7,0.0205875,15.0,19.2,3.7,7.13
